state,year,EV Registrations,Total Vehicles,EV Share (%),Stations,Total Charging Outlets,Population_20_64,Education_Bachelor,Unemployment_Rate,Bachelor_Attainment,Per_Cap_Income,localofficials,reducetax,regulate,price_cents_per_kwh,gasoline_price_per_gallon,Total,Trucks,Trucks_Share,Party
Rhode Island,2016,300,857600,0.03,80,201,638364,200099,5.7,31.35,33008,,,,16.28,,,,,
South Carolina,2016,800,4416800,0.02,200,364,2885619,712028,5.8,24.68,27016,,,,9.79,,,,,
South Dakota,2016,100,872000,0.01,23,40,487777,129304,3.3,26.51,28585,,,,9.83,,,,,
Tennessee,2016,2600,5486700,0.05,428,970,3930228,964848,5.1,24.55,27087,,,,9.23,,,,,
Texas,2016,11900,22306700,0.05,998,2386,16414366,4270601,5.1,26.02,28714,,,,8.43,,,,,
Utah,2016,2500,2482200,0.1,127,291,1717538,480048,3.6,27.95,26993,,,,8.72,,,,,
Vermont,2016,300,613400,0.05,161,380,371704,120674,3.5,32.47,31836,,,,14.46,,,,,
Virginia,2016,3100,7403200,0.04,427,991,5070139,1794747,4.6,35.4,36206,,,,9.09,,,,,
Washington,2016,14900,6228400,0.24,738,1791,4399685,1405723,5,31.95,35284,,,,7.68,,,,,
West Virginia,2016,100,1524400,0.01,43,96,1063143,210760,7.2,19.82,24769,,,,8.98,,,,,
Wisconsin,2016,2600,5368300,0.05,280,445,3410854,937935,3.8,27.5,30902,,,,10.67,,,,,
Wyoming,2016,100,615100,0.02,32,63,341353,82597,5.1,24.2,30042,,,,8.19,,,,,
